InstructionDecimal,CyclesTaken,ClockStop,NextBlipCycles
528,3,0,2
529,3,0,2
530,3,0,2
532,3,0,2
533,3,0,2
534,3,0,2
536,3,0,2
537,3,0,2
538,3,0,2
540,3,0,2
541,3,0,2
542,3,0,2
544,3,0,2
545,3,0,2
546,3,0,2
548,3,0,2
549,3,0,2
550,3,0,2
552,942,0,0
553,3,0,2
554,3,0,2
556,943,0,0
557,3,0,2
558,3,0,2
560,3,0,2
561,3,0,2
562,3,0,2
564,3,0,2
565,3,0,2
566,3,0,2
568,3,0,2
569,3,0,2
570,3,0,2
572,3,0,2
573,3,0,2
574,3,0,2
576,3,0,2
577,3,0,2
578,3,0,2
580,3,0,2
581,3,0,2
582,3,0,2
584,944,0,0
585,3,0,2
586,3,0,2
588,944,0,0
589,3,0,2
590,3,0,2
592,3,0,0
593,3,0,2
594,3,0,2
596,3,0,2
597,3,0,2
598,3,0,2
600,3,0,2
601,3,0,2
602,3,0,2
604,3,0,2
605,3,0,2
606,3,0,2
608,3,0,2
609,3,0,2
610,3,0,2
612,3,0,2
613,3,0,2
614,3,0,2
616,944,0,0
617,3,0,2
618,3,0,2
620,943,0,0
621,3,0,2
622,3,0,2
624,3,0,0
625,3,0,2
626,3,0,2
628,3,0,2
629,3,0,2
630,3,0,2
632,3,0,2
633,3,0,2
634,3,0,2
636,3,0,2
637,3,0,2
638,3,0,2
640,3,0,2
641,3,0,2
642,3,0,2
644,3,0,2
645,3,0,2
646,3,0,2
648,941,0,0
649,3,0,2
650,3,0,2
652,939,0,0
653,3,0,2
654,3,0,2
656,3,0,2
657,3,0,2
658,3,0,2
660,3,0,2
661,3,0,2
662,3,0,2
664,3,0,2
665,3,0,2
666,3,0,2
668,3,0,2
669,3,0,2
670,3,0,2
672,3,0,2
673,3,0,2
674,3,0,2
676,3,0,2
677,3,0,2
678,3,0,2
680,938,0,0
681,3,0,2
682,3,0,2
684,942,0,0
685,3,0,2
686,3,0,2
688,3,0,2
689,3,0,2
690,3,0,2
692,3,0,2
693,3,0,2
694,3,0,2
696,3,0,2
697,3,0,2
698,3,0,2
700,3,0,2
701,3,0,2
702,3,0,2
704,3,0,2
705,3,0,2
706,3,0,2
708,3,0,2
709,3,0,2
710,3,0,2
712,939,0,0
713,3,0,2
714,3,0,2
716,944,0,0
717,3,0,2
718,3,0,2
720,3,0,0
721,3,0,2
722,3,0,2
724,3,0,2
725,3,0,2
726,3,0,2
728,3,0,2
729,3,0,2
730,3,0,2
732,3,0,2
733,3,0,2
734,3,0,2
736,3,0,2
737,3,0,2
738,3,0,2
740,3,0,2
741,3,0,2
742,3,0,2
744,939,0,0
745,3,0,2
746,3,0,2
748,944,0,0
749,3,0,2
750,3,0,2
752,3,0,0
753,3,0,2
754,3,0,2
756,3,0,2
757,3,0,2
758,3,0,2
760,3,0,2
761,3,0,2
762,3,0,2
764,3,0,2
765,3,0,2
766,3,0,2
768,3,0,2
769,3,0,2
770,3,0,2
772,3,0,2
773,3,0,2
774,3,0,2
776,943,0,0
777,3,0,2
778,3,0,2
780,941,0,0
781,3,0,2
782,3,0,2
784,3,0,2
785,3,0,2
786,3,0,2
788,3,0,2
789,3,0,2
790,3,0,2
792,3,0,2
793,3,0,2
794,3,0,2
796,3,0,2
797,3,0,2
798,3,0,2
800,3,0,2
801,3,0,2
802,3,0,2
804,3,0,2
805,3,0,2
806,3,0,2
808,944,0,0
809,3,0,2
810,3,0,2
812,945,0,0
813,3,0,2
814,3,0,2
816,3,0,2
817,3,0,2
818,3,0,2
820,3,0,2
821,3,0,2
822,3,0,2
824,3,0,2
825,3,0,2
826,3,0,2
828,3,0,2
829,3,0,2
830,3,0,2
832,3,0,2
833,3,0,2
834,3,0,2
836,3,0,2
837,3,0,2
838,3,0,2
840,939,0,0
841,3,0,2
842,3,0,2
844,942,0,0
845,3,0,2
846,3,0,2
848,3,0,0
849,3,0,2
850,3,0,2
852,3,0,2
853,3,0,2
854,3,0,2
856,3,0,2
857,3,0,2
858,3,0,2
860,3,0,2
861,3,0,2
862,3,0,2
864,3,0,2
865,3,0,2
866,3,0,2
868,3,0,2
869,3,0,2
870,3,0,2
872,944,0,0
873,3,0,2
874,3,0,2
876,938,0,0
877,3,0,2
878,3,0,2
880,3,0,0
881,3,0,2
882,3,0,2
884,3,0,2
885,3,0,2
886,3,0,2
888,3,0,2
889,3,0,2
890,3,0,2
892,3,0,2
893,3,0,2
894,3,0,2
896,3,0,2
897,3,0,2
898,3,0,2
900,3,0,2
901,3,0,2
902,3,0,2
904,943,0,0
905,3,0,2
906,3,0,2
908,944,0,0
909,3,0,2
910,3,0,2
912,3,0,2
913,3,0,2
914,3,0,2
916,3,0,2
917,3,0,2
918,3,0,2
920,3,0,2
921,3,0,2
922,3,0,2
924,3,0,2
925,3,0,2
926,3,0,2
928,3,0,2
929,3,0,2
930,3,0,2
932,3,0,2
933,3,0,2
934,3,0,2
936,938,0,0
937,3,0,2
938,3,0,2
940,945,0,0
941,3,0,2
942,3,0,2
944,3,0,2
945,3,0,2
946,3,0,2
948,3,0,2
949,3,0,2
950,3,0,2
952,3,0,2
953,3,0,2
954,3,0,2
956,3,0,2
957,3,0,2
958,3,0,2
960,3,0,2
961,3,0,2
962,3,0,2
964,3,0,2
965,3,0,2
966,3,0,2
968,943,0,0
969,3,0,2
970,3,0,2
972,942,0,0
973,3,0,2
974,3,0,2
976,3,0,0
977,3,0,2
978,3,0,2
980,3,0,2
981,3,0,2
982,3,0,2
984,3,0,2
985,3,0,2
986,3,0,2
988,3,0,2
989,3,0,2
990,3,0,2
992,3,0,2
993,3,0,2
994,3,0,2
996,3,0,2
997,3,0,2
998,3,0,2
1000,941,0,0
1001,3,0,2
1002,3,0,2
1004,939,0,0
1005,3,0,2
1006,3,0,2
1008,3,0,0
1009,3,0,2
1010,3,0,2
1012,3,0,2
1013,3,0,2
1014,3,0,2
1016,3,0,2
1017,3,0,2
1018,3,0,2
1020,3,0,2
1021,3,0,2
1022,3,0,2
1024,3,0,2
1025,3,0,2
1026,3,0,2
1028,3,0,2
1029,3,0,2
1030,3,0,2
1032,940,0,0
1033,3,0,2
1034,3,0,2
1036,941,0,0
1037,3,0,2
1038,3,0,2
1040,3,0,2
1041,3,0,2
1042,3,0,2
1044,3,0,2
1045,3,0,2
1046,3,0,2
1048,3,0,2
1049,3,0,2
1050,3,0,2
1052,3,0,2
1053,3,0,2
1054,3,0,2
1056,3,0,2
1057,3,0,2
1058,3,0,2
1060,3,0,2
1061,3,0,2
1062,3,0,2
1064,942,0,0
1065,3,0,2
1066,3,0,2
1068,941,0,0
1069,3,0,2
1070,3,0,2
1072,3,0,2
1073,3,0,2
1074,3,0,2
1076,3,0,2
1077,3,0,2
1078,3,0,2
1080,3,0,2
1081,3,0,2
1082,3,0,2
1084,3,0,2
1085,3,0,2
1086,3,0,2
1088,3,0,2
1089,3,0,2
1090,3,0,2
1092,3,0,2
1093,3,0,2
1094,3,0,2
1096,945,0,0
1097,3,0,2
1098,3,0,2
1100,938,0,0
1101,3,0,2
1102,3,0,2
1104,3,0,0
1105,3,0,2
1106,3,0,2
1108,3,0,2
1109,3,0,2
1110,3,0,2
1112,3,0,2
1113,3,0,2
1114,3,0,2
1116,3,0,2
1117,3,0,2
1118,3,0,2
1120,3,0,2
1121,3,0,2
1122,3,0,2
1124,3,0,2
1125,3,0,2
1126,3,0,2
1128,944,0,0
1129,3,0,2
1130,3,0,2
1132,938,0,0
1133,3,0,2
1134,3,0,2
1136,3,0,0
1137,3,0,2
1138,3,0,2
1140,3,0,2
1141,3,0,2
1142,3,0,2
1144,3,0,2
1145,3,0,2
1146,3,0,2
1148,3,0,2
1149,3,0,2
1150,3,0,2
1152,3,0,2
1153,3,0,2
1154,3,0,2
1156,3,0,2
1157,3,0,2
1158,3,0,2
1160,941,0,0
1161,3,0,2
1162,3,0,2
1164,943,0,0
1165,3,0,2
1166,3,0,2
1168,3,0,2
1169,3,0,2
1170,3,0,2
1172,3,0,2
1173,3,0,2
1174,3,0,2
1176,3,0,2
1177,3,0,2
1178,3,0,2
1180,3,0,2
1181,3,0,2
1182,3,0,2
1184,3,0,2
1185,3,0,2
1186,3,0,2
1188,3,0,2
1189,3,0,2
1190,3,0,2
1192,940,0,0
1193,3,0,2
1194,3,0,2
1196,941,0,0
1197,3,0,2
1198,3,0,2
1200,3,0,2
1201,3,0,2
1202,3,0,2
1204,3,0,2
1205,3,0,2
1206,3,0,2
1208,3,0,2
1209,3,0,2
1210,3,0,2
1212,3,0,2
1213,3,0,2
1214,3,0,2
1216,3,0,2
1217,3,0,2
1218,3,0,2
1220,3,0,2
1221,3,0,2
1222,3,0,2
1224,939,0,0
1225,3,0,2
1226,3,0,2
1228,939,0,0
1229,3,0,2
1230,3,0,2
1232,3,0,0
1233,3,0,2
1234,3,0,2
1236,3,0,2
1237,3,0,2
1238,3,0,2
1240,3,0,2
1241,3,0,2
1242,3,0,2
1244,3,0,2
1245,3,0,2
1246,3,0,2
1248,3,0,2
1249,3,0,2
1250,3,0,2
1252,3,0,2
1253,3,0,2
1254,3,0,2
1256,940,0,0
1257,3,0,2
1258,3,0,2
1260,944,0,0
1261,3,0,2
1262,3,0,2
1264,3,0,0
1265,3,0,2
1266,3,0,2
1268,3,0,2
1269,3,0,2
1270,3,0,2
1272,3,0,2
1273,3,0,2
1274,3,0,2
1276,3,0,2
1277,3,0,2
1278,3,0,2
1280,3,0,2
1281,3,0,2
1282,3,0,2
1284,3,0,2
1285,941,0,0
1286,938,0,0
1288,939,0,0
1289,938,0,0
1290,942,0,0
1292,938,0,0
1293,942,0,0
1294,938,0,0
1296,3,0,2
1297,7,0,0
1298,941,0,0
1300,3,0,2
1301,941,0,0
1302,940,0,0
1304,3,0,2
1305,937,0,0
1306,939,0,0
1308,3,0,2
1309,945,0,0
1310,944,0,0
1312,3,0,2
1313,942,0,0
1314,944,0,0
1316,3,0,2
1317,944,0,0
1318,943,0,0
1320,945,0,0
1321,945,0,0
1322,945,0,0
1324,942,0,0
1325,940,0,0
1326,939,0,0
1328,3,0,2
1329,942,0,0
1330,938,0,0
1332,3,0,2
1333,940,0,0
1334,945,0,0
1336,3,0,2
1337,939,0,0
1338,940,0,0
1340,3,0,2
1341,939,0,0
1342,943,0,0
1344,3,0,2
1345,306,0,7
1346,944,0,0
1348,3,0,2
1349,946,0,0
1350,941,0,0
1352,940,0,0
1353,939,0,0
1354,939,0,0
1356,939,0,0
1357,945,0,0
1358,945,0,0
1360,3,0,0
1361,945,0,0
1362,939,0,0
1364,3,0,2
1365,939,0,0
1366,938,0,0
1368,3,0,2
1369,944,0,0
1370,944,0,0
1372,3,0,2
1373,944,0,0
1374,941,0,0
1376,3,0,2
1377,939,0,0
1378,944,0,0
1380,3,0,2
1381,942,0,0
1382,938,0,0
1384,941,0,0
1385,941,0,0
1386,938,0,0
1388,938,0,0
1389,939,0,0
1390,939,0,0
1392,3,0,0
1393,3,0,2
1394,939,0,0
1396,3,0,2
1397,940,0,0
1398,944,0,0
1400,3,0,2
1401,944,0,0
1402,940,0,0
1404,3,0,2
1405,944,0,0
1406,939,0,0
1408,3,0,2
1409,3,0,2
1410,3,0,2
1412,3,0,2
1413,3,0,2
1414,939,0,0
1416,938,0,0
1417,3,0,2
1418,939,0,0
1420,938,0,0
1421,3,0,2
1422,941,0,0
1424,3,0,2
1425,943,0,0
1426,937,0,0
1428,3,0,2
1429,944,0,0
1430,941,0,0
1432,3,0,2
1433,944,0,0
1434,938,0,0
1436,3,0,2
1437,942,0,0
1438,943,0,0
1440,3,0,2
1441,3,0,2
1442,940,0,0
1444,3,0,2
1445,3,0,2
1446,938,0,0
1448,941,0,0
1449,3,0,2
1450,938,0,0
1452,940,0,0
1453,3,0,2
1454,941,0,0
1456,3,0,2
1457,944,0,0
1458,941,0,0
1460,3,0,2
1461,938,0,0
1462,939,0,0
1464,3,0,2
1465,945,0,0
1466,940,0,0
1468,3,0,2
1469,938,0,0
1470,939,0,0
1472,3,0,2
1473,3,0,2
1474,944,0,0
1476,3,0,2
1477,3,0,2
1478,938,0,0
1480,943,0,0
1481,3,0,2
1482,938,0,0
1484,939,0,0
1485,3,0,2
1486,940,0,0
1488,3,0,0
1489,942,0,0
1490,944,0,0
1492,3,0,2
1493,946,0,0
1494,942,0,0
1496,3,0,2
1497,939,0,0
