0,c.addi4spn
1,c.nop
2,c.slli
3,X
4,c.addi4spn
5,c.nop
6,c.slli
7,X
8,c.addi4spn
9,c.nop
10,c.slli
11,X
12,c.addi4spn
13,c.nop
14,c.slli
15,X
16,c.addi4spn
17,c.nop
18,c.slli
19,X
20,c.addi4spn
21,c.nop
22,c.slli
23,X
24,c.addi4spn
25,c.nop
26,c.slli
27,X
28,c.addi4spn
29,c.nop
30,c.slli
31,X
32,c.addi4spn
33,c.nop
34,c.slli
35,X
36,c.addi4spn
37,c.nop
38,c.slli
39,X
40,c.addi4spn
41,c.nop
42,c.slli
43,X
44,c.addi4spn
45,c.nop
46,c.slli
47,X
48,c.addi4spn
49,c.nop
50,c.slli
51,X
52,c.addi4spn
53,c.nop
54,c.slli
55,X
56,c.addi4spn
57,c.nop
58,c.slli
59,X
60,c.addi4spn
61,c.nop
62,c.slli
63,X
64,c.addi4spn
65,c.nop
66,c.slli
67,X
68,c.addi4spn
69,c.nop
70,c.slli
71,X
72,c.addi4spn
73,c.nop
74,c.slli
75,X
76,c.addi4spn
77,c.nop
78,c.slli
79,X
80,c.addi4spn
81,c.nop
82,c.slli
83,X
84,c.addi4spn
85,c.nop
86,c.slli
87,X
88,c.addi4spn
89,c.nop
90,c.slli
91,X
92,c.addi4spn
93,c.nop
94,c.slli
95,X
96,c.addi4spn
97,c.nop
98,c.slli
99,X
100,c.addi4spn
101,c.nop
102,c.slli
103,X
104,c.addi4spn
105,c.nop
106,c.slli
107,X
108,c.addi4spn
109,c.nop
110,c.slli
111,X
112,c.addi4spn
113,c.nop
114,c.slli
115,X
116,c.addi4spn
117,c.nop
118,c.slli
119,X
120,c.addi4spn
121,c.nop
122,c.slli
123,X
124,c.addi4spn
125,c.nop
126,c.slli
127,X
128,c.addi4spn
129,c.addi
130,c.slli
131,X
132,c.addi4spn
133,c.addi
134,c.slli
135,X
136,c.addi4spn
137,c.addi
138,c.slli
139,X
140,c.addi4spn
141,c.addi
142,c.slli
143,X
144,c.addi4spn
145,c.addi
146,c.slli
147,X
148,c.addi4spn
149,c.addi
150,c.slli
151,X
152,c.addi4spn
153,c.addi
154,c.slli
155,X
156,c.addi4spn
157,c.addi
158,c.slli
159,X
160,c.addi4spn
161,c.addi
162,c.slli
163,X
164,c.addi4spn
165,c.addi
166,c.slli
167,X
168,c.addi4spn
169,c.addi
170,c.slli
171,X
172,c.addi4spn
173,c.addi
174,c.slli
175,X
176,c.addi4spn
177,c.addi
178,c.slli
179,X
180,c.addi4spn
181,c.addi
182,c.slli
183,X
184,c.addi4spn
185,c.addi
186,c.slli
187,X
188,c.addi4spn
189,c.addi
190,c.slli
191,X
192,c.addi4spn
193,c.addi
194,c.slli
195,X
196,c.addi4spn
197,c.addi
198,c.slli
199,X
200,c.addi4spn
201,c.addi
202,c.slli
203,X
204,c.addi4spn
205,c.addi
206,c.slli
207,X
208,c.addi4spn
209,c.addi
210,c.slli
211,X
212,c.addi4spn
213,c.addi
214,c.slli
215,X
216,c.addi4spn
217,c.addi
218,c.slli
219,X
220,c.addi4spn
221,c.addi
222,c.slli
223,X
224,c.addi4spn
225,c.addi
226,c.slli
227,X
228,c.addi4spn
229,c.addi
230,c.slli
231,X
232,c.addi4spn
233,c.addi
234,c.slli
235,X
236,c.addi4spn
237,c.addi
238,c.slli
239,X
240,c.addi4spn
241,c.addi
242,c.slli
243,X
244,c.addi4spn
245,c.addi
246,c.slli
247,X
248,c.addi4spn
249,c.addi
250,c.slli
251,X
252,c.addi4spn
253,c.addi
254,c.slli
255,X
256,c.addi4spn
257,c.addi
258,c.slli
259,X
260,c.addi4spn
261,c.addi
262,c.slli
263,X
264,c.addi4spn
265,c.addi
266,c.slli
267,X
268,c.addi4spn
269,c.addi
270,c.slli
271,X
272,c.addi4spn
273,c.addi
274,c.slli
275,X
276,c.addi4spn
277,c.addi
278,c.slli
279,X
280,c.addi4spn
281,c.addi
282,c.slli
283,X
284,c.addi4spn
285,c.addi
286,c.slli
287,X
288,c.addi4spn
289,c.addi
290,c.slli
291,X
292,c.addi4spn
293,c.addi
294,c.slli
295,X
296,c.addi4spn
297,c.addi
298,c.slli
299,X
300,c.addi4spn
301,c.addi
302,c.slli
303,X
